BRGY_CODE,REGION,MUNICIPALITY,PROVINCE,BRGY,URBANITY,,,
12805031,NL,ILOCOS NORTE,CITY OF BATAC,Palongpong,RURAL,#REF!,0,0
12805032,NL,ILOCOS NORTE,CITY OF BATAC,Palpalicong (Pob.),RURAL,#REF!,0,0
12805033,NL,ILOCOS NORTE,CITY OF BATAC,Parangopong,RURAL,#REF!,0,0
12805034,NL,ILOCOS NORTE,CITY OF BATAC,Payao,RURAL,#REF!,0,0
12805035,NL,ILOCOS NORTE,CITY OF BATAC,Quiling Norte,RURAL,#REF!,0,0
12805036,NL,ILOCOS NORTE,CITY OF BATAC,Quiling Sur,RURAL,#REF!,0,0
12805037,NL,ILOCOS NORTE,CITY OF BATAC,Quiom,RURAL,#REF!,0,0
12805038,NL,ILOCOS NORTE,CITY OF BATAC,Rayuray,RURAL,#REF!,0,0
12805039,NL,ILOCOS NORTE,CITY OF BATAC,San Julian (Pob.),RURAL,#REF!,0,0
12805040,NL,ILOCOS NORTE,CITY OF BATAC,San Mateo,RURAL,#REF!,0,0
12805041,NL,ILOCOS NORTE,CITY OF BATAC,San Pedro,RURAL,#REF!,0,0
12805042,NL,ILOCOS NORTE,CITY OF BATAC,Suabit (Pob.),URBAN,#REF!,0,0
12805043,NL,ILOCOS NORTE,CITY OF BATAC,Sumader,RURAL,#REF!,0,0
12805044,NL,ILOCOS NORTE,CITY OF BATAC,Tabug,URBAN,#REF!,0,0
12806001,NL,ILOCOS NORTE,BURGOS,Ablan Sarat,RURAL,#REF!,0,0
12806002,NL,ILOCOS NORTE,BURGOS,Agaga,RURAL,#REF!,0,0
12806005,NL,ILOCOS NORTE,BURGOS,Bayog,RURAL,#REF!,0,0
12806006,NL,ILOCOS NORTE,BURGOS,Bobon,RURAL,#REF!,0,0
12806007,NL,ILOCOS NORTE,BURGOS,Buduan (Malituek),RURAL,#REF!,0,0
12806008,NL,ILOCOS NORTE,BURGOS,Nagsurot,RURAL,#REF!,0,0
12806009,NL,ILOCOS NORTE,BURGOS,Paayas,URBAN,#REF!,0,0
12806010,NL,ILOCOS NORTE,BURGOS,Pagali,RURAL,#REF!,0,0
12806011,NL,ILOCOS NORTE,BURGOS,Poblacion,RURAL,#REF!,0,0
12806013,NL,ILOCOS NORTE,BURGOS,Saoit,RURAL,#REF!,0,0
12806014,NL,ILOCOS NORTE,BURGOS,Tanap,RURAL,#REF!,0,0
12807001,NL,ILOCOS NORTE,CARASI,Angset,RURAL,#REF!,0,0
12807003,NL,ILOCOS NORTE,CARASI,Barbaqueso (Pob.),RURAL,#REF!,0,0
12807004,NL,ILOCOS NORTE,CARASI,Virbira,RURAL,#REF!,0,0
12808001,NL,ILOCOS NORTE,CURRIMAO,Anggapang Norte,RURAL,#REF!,0,0
12808002,NL,ILOCOS NORTE,CURRIMAO,Anggapang Sur,RURAL,#REF!,0,0
12808003,NL,ILOCOS NORTE,CURRIMAO,Bimmanga,RURAL,#REF!,0,0
12808004,NL,ILOCOS NORTE,CURRIMAO,Cabuusan,RURAL,#REF!,0,0
12808005,NL,ILOCOS NORTE,CURRIMAO,Comcomloong,RURAL,#REF!,0,0
12808006,NL,ILOCOS NORTE,CURRIMAO,Gaang,RURAL,#REF!,0,0
12808007,NL,ILOCOS NORTE,CURRIMAO,Lang-ayan-Baramban,RURAL,#REF!,0,0
12808008,NL,ILOCOS NORTE,CURRIMAO,Lioes,RURAL,#REF!,0,0
12808009,NL,ILOCOS NORTE,CURRIMAO,Maglaoi Centro,RURAL,#REF!,0,0
12808010,NL,ILOCOS NORTE,CURRIMAO,Maglaoi Norte,RURAL,#REF!,0,0
12808011,NL,ILOCOS NORTE,CURRIMAO,Maglaoi Sur,RURAL,#REF!,0,0
12808013,NL,ILOCOS NORTE,CURRIMAO,Paguludan-Salindeg,RURAL,#REF!,0,0
12808014,NL,ILOCOS NORTE,CURRIMAO,Pangil,RURAL,#REF!,0,0
12808015,NL,ILOCOS NORTE,CURRIMAO,Pias Norte,RURAL,#REF!,0,0
12808016,NL,ILOCOS NORTE,CURRIMAO,Pias Sur,RURAL,#REF!,0,0
12808017,NL,ILOCOS NORTE,CURRIMAO,Poblacion I,RURAL,#REF!,0,0
12808018,NL,ILOCOS NORTE,CURRIMAO,Poblacion II,RURAL,#REF!,0,0
12808019,NL,ILOCOS NORTE,CURRIMAO,Salugan,RURAL,#REF!,0,0
12808020,NL,ILOCOS NORTE,CURRIMAO,San Simeon,RURAL,#REF!,0,0
12808021,NL,ILOCOS NORTE,CURRIMAO,Santa Cruz,RURAL,#REF!,0,0
12808022,NL,ILOCOS NORTE,CURRIMAO,Tapao-Tigue,RURAL,#REF!,0,0
12808023,NL,ILOCOS NORTE,CURRIMAO,Torre,RURAL,#REF!,0,0
12808024,NL,ILOCOS NORTE,CURRIMAO,Victoria,RURAL,#REF!,0,0
12809001,NL,ILOCOS NORTE,DINGRAS,Albano (Pob.),URBAN,#REF!,0,0
12809002,NL,ILOCOS NORTE,DINGRAS,Bacsil,RURAL,#REF!,0,0
12809003,NL,ILOCOS NORTE,DINGRAS,Bagut,RURAL,#REF!,0,0
12809004,NL,ILOCOS NORTE,DINGRAS,Parado (Bangay),RURAL,#REF!,0,0
12809005,NL,ILOCOS NORTE,DINGRAS,Baresbes,RURAL,#REF!,0,0
12809006,NL,ILOCOS NORTE,DINGRAS,Barong,RURAL,#REF!,0,0
12809007,NL,ILOCOS NORTE,DINGRAS,Bungcag,RURAL,#REF!,0,0
12809009,NL,ILOCOS NORTE,DINGRAS,Cali,RURAL,#REF!,0,0
12809010,NL,ILOCOS NORTE,DINGRAS,Capasan,RURAL,#REF!,0,0
12809011,NL,ILOCOS NORTE,DINGRAS,Dancel (Pob.),RURAL,#REF!,0,0
12809012,NL,ILOCOS NORTE,DINGRAS,Foz,RURAL,#REF!,0,0
12809013,NL,ILOCOS NORTE,DINGRAS,Guerrero (Pob.),RURAL,#REF!,0,0
12809014,NL,ILOCOS NORTE,DINGRAS,Lanas,RURAL,#REF!,0,0
12809015,NL,ILOCOS NORTE,DINGRAS,Lumbad,RURAL,#REF!,0,0
12809016,NL,ILOCOS NORTE,DINGRAS,Madamba (Pob.),URBAN,#REF!,0,0
12809017,NL,ILOCOS NORTE,DINGRAS,Mandaloque,RURAL,#REF!,0,0
12809018,NL,ILOCOS NORTE,DINGRAS,Medina,RURAL,#REF!,0,0
12809019,NL,ILOCOS NORTE,DINGRAS,Ver (Naglayaan),RURAL,#REF!,0,0
12809020,NL,ILOCOS NORTE,DINGRAS,San Marcelino (Padong),RURAL,#REF!,0,0
12809021,NL,ILOCOS NORTE,DINGRAS,Puruganan (Pob.),RURAL,#REF!,0,0
12809022,NL,ILOCOS NORTE,DINGRAS,Peralta (Pob.),RURAL,#REF!,0,0
12809023,NL,ILOCOS NORTE,DINGRAS,Root (Baldias),RURAL,#REF!,0,0
12809024,NL,ILOCOS NORTE,DINGRAS,Sagpatan,RURAL,#REF!,0,0
12809025,NL,ILOCOS NORTE,DINGRAS,Saludares,RURAL,#REF!,0,0
12809026,NL,ILOCOS NORTE,DINGRAS,San Esteban,RURAL,#REF!,0,0
12809027,NL,ILOCOS NORTE,DINGRAS,Espiritu,RURAL,#REF!,0,0
12809028,NL,ILOCOS NORTE,DINGRAS,Sulquiano (Sidiran),RURAL,#REF!,0,0
12809029,NL,ILOCOS NORTE,DINGRAS,San Francisco (Surrate),RURAL,#REF!,0,0
12809030,NL,ILOCOS NORTE,DINGRAS,Suyo,URBAN,#REF!,0,0
12809031,NL,ILOCOS NORTE,DINGRAS,San Marcos,RURAL,#REF!,0,0
12809032,NL,ILOCOS NORTE,DINGRAS,Elizabeth,RURAL,#REF!,0,0
12810001,NL,ILOCOS NORTE,DUMALNEG,Cabaritan (Dumalneg),RURAL,#REF!,0,0
12810002,NL,ILOCOS NORTE,DUMALNEG,San Isidro,RURAL,#REF!,0,0
12811001,NL,ILOCOS NORTE,BANNA (ESPIRITU),Balioeg,RURAL,#REF!,0,0
12811002,NL,ILOCOS NORTE,BANNA (ESPIRITU),Bangsar,RURAL,#REF!,0,0
12811003,NL,ILOCOS NORTE,BANNA (ESPIRITU),Barbarangay,RURAL,#REF!,0,0
12811004,NL,ILOCOS NORTE,BANNA (ESPIRITU),Bomitog,RURAL,#REF!,0,0
12811005,NL,ILOCOS NORTE,BANNA (ESPIRITU),Bugasi,RURAL,#REF!,0,0
12811006,NL,ILOCOS NORTE,BANNA (ESPIRITU),Caestebanan,RURAL,#REF!,0,0
12811008,NL,ILOCOS NORTE,BANNA (ESPIRITU),Caribquib,RURAL,#REF!,0,0
12811009,NL,ILOCOS NORTE,BANNA (ESPIRITU),Catagtaguen,RURAL,#REF!,0,0
12811011,NL,ILOCOS NORTE,BANNA (ESPIRITU),Crispina,RURAL,#REF!,0,0
12811012,NL,ILOCOS NORTE,BANNA (ESPIRITU),Hilario (Pob.),RURAL,#REF!,0,0
12811013,NL,ILOCOS NORTE,BANNA (ESPIRITU),Imelda,RURAL,#REF!,0,0
12811014,NL,ILOCOS NORTE,BANNA (ESPIRITU),Lorenzo (Pob.),RURAL,#REF!,0,0
12811015,NL,ILOCOS NORTE,BANNA (ESPIRITU),Macayepyep,RURAL,#REF!,0,0
12811016,NL,ILOCOS NORTE,BANNA (ESPIRITU),Marcos (Pob.),RURAL,#REF!,0,0
12811017,NL,ILOCOS NORTE,BANNA (ESPIRITU),Nagpatayan,RURAL,#REF!,0,0
12811018,NL,ILOCOS NORTE,BANNA (ESPIRITU),Valdez,RURAL,#REF!,0,0
12811019,NL,ILOCOS NORTE,BANNA (ESPIRITU),Sinamar,RURAL,#REF!,0,0
12811020,NL,ILOCOS NORTE,BANNA (ESPIRITU),Tabtabagan,RURAL,#REF!,0,0
12811021,NL,ILOCOS NORTE,BANNA (ESPIRITU),Valenciano (Pob.),RURAL,#REF!,0,0
12811022,NL,ILOCOS NORTE,BANNA (ESPIRITU),Binacag,RURAL,#REF!,0,0
12812001,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 42, Apaya",RURAL,#REF!,0,0
12812002,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 36, Araniw",RURAL,#REF!,0,0
12812003,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 56-A, Bacsil North",RURAL,#REF!,0,0
12812004,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 56-B, Bacsil South",RURAL,#REF!,0,0
12812005,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 41, Balacad",RURAL,#REF!,0,0
12812006,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 40, Balatong",RURAL,#REF!,0,0
12812007,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 55-A, Barit-Pandan",URBAN,#REF!,5,5
12812008,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 47, Bengcag",URBAN,#REF!,0,0
12812009,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 50, Buttong",URBAN,#REF!,0,0
12812010,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 60-A, Caaoacan",RURAL,#REF!,0,0
12812011,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bry. No. 48-A, Cabungaan North",RURAL,#REF!,0,0
12812012,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 48-B, Cabungaan South",RURAL,#REF!,0,0
12812013,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 37, Calayab",URBAN,#REF!,0,0
12812014,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 54-B, Camangaan",RURAL,#REF!,0,0
12812015,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 58, Casili",RURAL,#REF!,0,0
12812016,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 61, Cataban",RURAL,#REF!,0,0
12812017,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 43, Cavit",RURAL,#REF!,0,0
12812019,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 49-A, Darayday",RURAL,#REF!,0,0
12812020,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 59-B, Dibua North",RURAL,#REF!,0,0
12812021,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 59-A, Dibua South",RURAL,#REF!,0,0
12812022,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 34-B, Gabu Norte East",RURAL,#REF!,0,0
12812023,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 34-A, Gabu Norte West",RURAL,#REF!,0,0
12812024,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 35, Gabu Sur",RURAL,#REF!,0,0
12812026,NL,ILOCOS NORTE,LAOAG CITY (Capital),Bgy. No. 32-C La Paz East,RURAL,#REF!,0,0
12812027,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 33-B, La Paz Proper",RURAL,#REF!,0,0
12812028,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 32-B, La Paz West",RURAL,#REF!,0,0
12812029,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 54-A, Lagui-Sail",RURAL,#REF!,0,0
12812030,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 32-A, La Paz East",RURAL,#REF!,0,0
12812031,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 33-A, La Paz Proper",RURAL,#REF!,0,0
12812032,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 52-B, Lataag",RURAL,#REF!,0,0
12812033,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 60-B, Madiladig",RURAL,#REF!,0,0
12812034,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 38-A, Mangato East",RURAL,#REF!,0,0
12812035,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 38-B, Mangato West",RURAL,#REF!,0,0
12812036,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 62-A, Navotas North",RURAL,#REF!,0,0
12812037,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 62-B, Navotas South",RURAL,#REF!,0,0
12812038,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 46, Nalbo",RURAL,#REF!,0,0
12812039,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 51-A, Nangalisan East",URBAN,#REF!,0,0
12812040,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 51-B, Nangalisan West",URBAN,#REF!,0,0
12812041,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)",RURAL,#REF!,0,0
12812042,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 7-A, Nstra. Sra. De Natividad (Pob.)",URBAN,#REF!,0,0
12812043,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 7-B, Nstra. Sra. De Natividad (Pob.)",RURAL,#REF!,0,0
12812044,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)",URBAN,#REF!,0,0
12812045,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)",URBAN,#REF!,0,0
12812046,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)",URBAN,#REF!,0,0
12812047,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 57, Pila",RURAL,#REF!,0,0
12812048,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 49-B, Raraburan",RURAL,#REF!,0,0
12812049,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 53, Rioeng",URBAN,#REF!,0,0
12812050,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 55-B, Salet-Bulangon",URBAN,#REF!,0,0
12812053,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 6, San Agustin (Pob.)",RURAL,#REF!,0,0
12812054,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 22, San Andres (Pob.)",URBAN,#REF!,0,0
12812055,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 28, San Bernardo (Pob.)",RURAL,#REF!,0,0
12812056,NL,ILOCOS NORTE,LAOAG CITY (Capital),"Bgy. No. 17, San Francisco (Pob.)",URBAN,#REF!,0,0
