BRGY_CODE,BRGY,MUNICIPALITY,PROVINCE,REGION,URBANITY
20402,Bantug Norte,Cabanatuan City,Nueva Ecija,NL,Urban
60601,Dionisio S. Garcia,Cabanatuan City,Nueva Ecija,NL,Urban
27800,San Felipe Matanda,Aliaga,Nueva Ecija,NL,Rural
27900,San Juan,Aliaga,Nueva Ecija,NL,Rural
28300,Cruz,Bongabon,Nueva Ecija,NL,Rural
65500,San Roque (Pob.),Bongabon,Nueva Ecija,NL,Rural
20501,East Bajacbajac,Olongapo City,Zambales,NL,Urban
20502,Barretto,Olongapo City,Zambales,NL,Urban
22303,Libaba (Zone 1 Pob.),Iba,Zambales,NL,Urban
28800,Aglao(Rabanes),San Marcelino,Zambales,NL,Rural
28900,Linasin,San Marcelino,Zambales,NL,Rural
22301,Palanguinan-Tambac,Iba,Zambales,NL,Urban
60801,Amungan,Iba,Zambales,NL,Urban
21101,Sto. Nino 1St,San Jose City,Nueva Ecija,NL,Urban
21102,Calaocan,San Jose City,Nueva Ecija,NL,Urban
21103,Malasin,San Jose City,Nueva Ecija,NL,Urban
28000,Bertese,Quezon,Nueva Ecija,NL,Rural
28100,Ilog Baliuag,Quezon,Nueva Ecija,NL,Rural
20201,Malabanias,Angeles City,Pampanga,NL,Urban
20202,Pulungbulu,Angeles City,Pampanga,NL,Urban
20203,Lourdes Sur East,Angeles City,Pampanga,NL,Urban
20602,Del Pilar,San Fernando,Pampanga,NL,Urban
60201,San Nicolas,San Fernando,Pampanga,NL,Urban
20601,Dolores,San Fernando,Pampanga,NL,Urban
60401,Dau,Mabalacat,Pampanga,NL,Urban
60701,Sta. Cruz,Lubao,Pampanga,NL,Urban
60402,Dapdap,Mabalacat,Pampanga,NL,Urban
22201,San Roque Dau,Lubao,Pampanga,NL,Urban
22203,Santa Monica,Lubao,Pampanga,NL,Urban
22402,Poblacion Sur,Paniqui,Tarlac,NL,Urban
20301,Matatalaib,Tarlac,Tarlac,NL,Urban
20302,San Nicolas,Tarlac,Tarlac,NL,Urban
22401,Poblacion Norte,Paniqui,Tarlac,NL,Urban
22403,Estacion,Paniqui,Tarlac,NL,Urban
21001,Victory Norte,Santiago,Isabela,NL,Urban
21002,Mabini,Santiago,Isabela,NL,Urban
21003,Calao East,Santiago,Isabela,NL,Urban
26400,Brgy. 1,San Mateo,Isabela,NL,Rural
26500,Villa Cruz,San Mateo,Isabela,NL,Rural
65200,Daramuangan Norte,San Mateo,Isabela,NL,Rural
27300,San Miguel,Ramon,Isabela,NL,Rural
65600,Planas,Ramon,Isabela,NL,Rural
26700,Magassi,Cabagan,Isabela,NL,Rural
26600,Cansan,Cabagan,Isabela,NL,Rural
20901,Poblacion,Urdaneta,Pangasinan,NL,Urban
20902,San Vicente,Urdaneta,Pangasinan,NL,Urban
20903,Pinmaludpod,Urdaneta,Pangasinan,NL,Urban
25400,Bugayong,Binalonan,Pangasinan,NL,Rural
25500,Sta. Catalina,Binalonan,Pangasinan,NL,Rural
25600,Batakil,Pozzorubio,Pangasinan,NL,Rural
25700,Rosario,Pozzorubio,Pangasinan,NL,Rural
65100,Imbalbalatong,Pozzorubio,Pangasinan,NL,Rural
25000,Bega,San Carlos City,Pangasinan,NL,Rural
25100,Coliling,San Carlos City,Pangasinan,NL,Rural
64000,Ano,San Carlos City,Pangasinan,NL,Rural
64100,Cobol,San Carlos City,Pangasinan,NL,Rural
64200,Paitan-Panoypoy,San Carlos City,Pangasinan,NL,Rural
64400,Caoayan-Kiling,San Carlos City,Pangasinan,NL,Rural
64300,Mamarlao,San Carlos City,Pangasinan,NL,Rural
24200,Nagbacalan,Paoay,Ilocos Norte,NL,Rural
24300,Sungadan,Paoay,Ilocos Norte,NL,Rural
60902,55-A Barit Pandan,Laoag City (Capital),Ilocos Norte,NL,Urban
21302,5 San Pedro (Pob.),Laoag City (Capital),Ilocos Norte,NL,Urban
60901,1 San Lorenzo,Laoag City (Capital),Ilocos Norte,NL,Urban
10205,Barangay 109, Tondo I / Ii,Metro Manila,NCR,Urban
10217,Barangay 525, Sampaloc,Metro Manila,NCR,Urban
10303,Poblacion, City Of Mandaluyong,Metro Manila,NCR,Urban
11002,San Roque, City Of Navotas,Metro Manila,NCR,Urban
11202,Pulang Lupa Uno, City Of Las Piñas,Metro Manila,NCR,Urban
11808,Napindan, Taguig City,Metro Manila,NCR,Urban
10501,Manggahan, City Of Pasig,Metro Manila,NCR,Urban
10203,Barangay 70, Tondo I / Ii,Metro Manila,NCR,Urban
10502,Rosario, City Of Pasig,Metro Manila,NCR,Urban
10504,Santolan, City Of Pasig,Metro Manila,NCR,Urban
10605,Tatalon, Quezon City,Metro Manila,NCR,Urban
10620,San Antonio, Quezon City,Metro Manila,NCR,Urban
10807,Barangay 8, Caloocan City,Metro Manila,NCR,Urban
10818,Barangay 147, Caloocan City,Metro Manila,NCR,Urban
11104,Malinta, City Of Valenzuela,Metro Manila,NCR,Urban
11301,Pembo, City Of Makati,Metro Manila,NCR,Urban
11309,Kasilawan, City Of Makati,Metro Manila,NCR,Urban
11802,Western Bicutan, Taguig City,Metro Manila,NCR,Urban
11803,Lower Bicutan, Taguig City,Metro Manila,NCR,Urban
10214,Barangay 420, Sampaloc,Metro Manila,NCR,Urban
10223,Barangay 823, Paco,Metro Manila,NCR,Urban
10401,Concepcion Uno, City Of Marikina,Metro Manila,NCR,Urban
10404,Marikina Heights (Concepcion), City Of Marikina,Metro Manila,NCR,Urban
10508,Ugong, City Of Pasig,Metro Manila,NCR,Urban
10608,Bagong Pag-asa, Quezon City,Metro Manila,NCR,Urban
10817,Barangay 144, Caloocan City,Metro Manila,NCR,Urban
10802,Barangay 178, Caloocan City,Metro Manila,NCR,Urban
10808,Barangay 179, Caloocan City,Metro Manila,NCR,Urban
11109,Palasan, City Of Valenzuela,Metro Manila,NCR,Urban
11404,Sucat, City Of Muntinlupa,Metro Manila,NCR,Urban
11306,Poblacion, City Of Makati,Metro Manila,NCR,Urban
10905,Baritan, City Of Malabon,Metro Manila,NCR,Urban
11501,B. F. Homes, City Of Parañaque,Metro Manila,NCR,Urban
10224,Barangay 751, Santa Ana,Metro Manila,NCR,Urban
10816,Barangay 80, Caloocan City,Metro Manila,NCR,Urban
11003,Daanghari, City Of Navotas,Metro Manila,NCR,Urban
10481,Nangka, City Of Marikina,Metro Manila,NCR,Urban
10614,Pinyahan, Quezon City,Metro Manila,NCR,Urban
10623,Fairview, Quezon City,Metro Manila,NCR,Urban
10804,Barangay 175, Caloocan City,Metro Manila,NCR,Urban
10812,Barangay 167, Caloocan City,Metro Manila,NCR,Urban
10693,North Fairview, Quezon City,Metro Manila,NCR,Urban
11001,North Bay Blvd., South,Metro Manila,NCR,Urban
10632,Unang Sigaw, Quezon City,Metro Manila,NCR,Urban
11305,East Rembo, City Of Makati,Metro Manila,NCR,Urban
11107,Paso De Blas, City Of Valenzuela,Metro Manila,NCR,Urban
10682,White Plains, Quezon City,Metro Manila,NCR,Urban
11506,Baclaran, City Of Parañaque,Metro Manila,NCR,Urban
10611,Baesa, Quezon City,Metro Manila,NCR,Urban
10622,Balingasa, Quezon City,Metro Manila,NCR,Urban
10621,Kaligayahan, Quezon City,Metro Manila,NCR,Urban
11303,Cembo, City Of Makati,Metro Manila,NCR,Urban
11105,Dalandanan, City Of Valenzuela,Metro Manila,NCR,Urban
10305,New Zañiga, City Of Mandaluyong,Metro Manila,NCR,Urban
10806,Barangay 35, Caloocan City,Metro Manila,NCR,Urban
10302,Plainview, City Of Mandaluyong,Metro Manila,NCR,Urban
10509,Dela Paz, City Of Pasig,Metro Manila,NCR,Urban
11205,Almanza Dos, City Of Las Piñas,Metro Manila,NCR,Urban
11801,Central Signal Village (Signal Village), Taguig City,Metro Manila,NCR,Urban
10503,Pinagbuhatan, City Of Pasig,Metro Manila,NCR,Urban
11206,Talon Tres, City Of Las Piñas,Metro Manila,NCR,Urban
10507,Bambang, City Of Pasig,Metro Manila,NCR,Urban
11503,San Dionisio, City Of Parañaque,Metro Manila,NCR,Urban
10208,Barangay 206, Tondo I / Ii,Metro Manila,NCR,Urban
10301,Addition Hills, City Of Mandaluyong,Metro Manila,NCR,Urban
11505,Moonwalk, City Of Parañaque,Metro Manila,NCR,Urban
10215,Barangay 457, Sampaloc,Metro Manila,NCR,Urban
11508,Merville, City Of Parañaque,Metro Manila,NCR,Urban
10211,Barangay 270, San Nicolas,Metro Manila,NCR,Urban
10801,Barangay 176, Caloocan City,Metro Manila,NCR,Urban
10814,Barangay 20, Caloocan City,Metro Manila,NCR,Urban
10610,Tandang Sora, Quezon City,Metro Manila,NCR,Urban
10629,Santa Teresita, Quezon City,Metro Manila,NCR,Urban
10906,Bayan-bayanan, City Of Malabon,Metro Manila,NCR,Urban
10510,Kapasigan, City Of Pasig,Metro Manila,NCR,Urban
11203,Pamplona Tres, City Of Las Piñas,Metro Manila,NCR,Urban
10506,Maybunga, City Of Pasig,Metro Manila,NCR,Urban
11806,Ususan, Taguig City,Metro Manila,NCR,Urban
11603,Barangay 137, Pasay City,Metro Manila,NCR,Urban
10903,Tugatog, City Of Malabon,Metro Manila,NCR,Urban
10619,Talipapa, Quezon City,Metro Manila,NCR,Urban
10225,Barangay 780, Santa Ana,Metro Manila,NCR,Urban
11108,Parada, City Of Valenzuela,Metro Manila,NCR,Urban
10803,Barangay 177, Caloocan City,Metro Manila,NCR,Urban
10405,Barangka, City Of Marikina,Metro Manila,NCR,Urban
10680,Pasong Putik Proper (Pasong Putik), Quezon City,Metro Manila,NCR,Urban
10626,Bagong Lipunan Ng Crame, Quezon City,Metro Manila,NCR,Urban
10809,Barangay 160, Caloocan City,Metro Manila,NCR,Urban
10201,Barangay 17, Tondo I / Ii,Metro Manila,NCR,Urban
10811,Barangay 166, Caloocan City,Metro Manila,NCR,Urban
11204,Almanza Uno, City Of Las Piñas,Metro Manila,NCR,Urban
10628,Mariana, Quezon City,Metro Manila,NCR,Urban
11401,Putatan, City Of Muntinlupa,Metro Manila,NCR,Urban
10402,Parang, City Of Marikina,Metro Manila,NCR,Urban
11807,Maharlika Village, Taguig City,Metro Manila,NCR,Urban
11804,Upper Bicutan, Taguig City,Metro Manila,NCR,Urban
10819,Barangay 146, Caloocan City,Metro Manila,NCR,Urban
10627,Masambong, Quezon City,Metro Manila,NCR,Urban
11606,Barangay 69, Pasay City,Metro Manila,NCR,Urban
10617,Bagong Silangan, Quezon City,Metro Manila,NCR,Urban
11507,Santo Niño, City Of Parañaque,Metro Manila,NCR,Urban
10602,Payatas, Quezon City,Metro Manila,NCR,Urban
10630,Sacred Heart, Quezon City,Metro Manila,NCR,Urban
10631,Santol, Quezon City,Metro Manila,NCR,Urban
11402,Cupang, City Of Muntinlupa,Metro Manila,NCR,Urban
10227,Barangay 644, San Miguel,Metro Manila,NCR,Urban
10607,Bahay Toro, Quezon City,Metro Manila,NCR,Urban
11805,Tanyag (Bagong Tanyag), Taguig City,Metro Manila,NCR,Urban
10219,Barangay 598, Sampaloc,Metro Manila,NCR,Urban
11809,Ligid-Tipas, Taguig City,Metro Manila,NCR,Urban
10206,Barangay 146, Tondo I / Ii,Metro Manila,NCR,Urban
11312,Rizal, City Of Makati,Metro Manila,NCR,Urban
10633,Maharlika, Quezon City,Metro Manila,NCR,Urban
11103,Karuhatan, City Of Valenzuela,Metro Manila,NCR,Urban
11302,Bangkal, City Of Makati,Metro Manila,NCR,Urban
10304,Hagdang Bato Itaas, City Of Mandaluyong,Metro Manila,NCR,Urban
10820,Barangay 109, Caloocan City,Metro Manila,NCR,Urban
10880,Barangay 75, Caloocan City,Metro Manila,NCR,Urban
10606,Matandang Balara, Quezon City,Metro Manila,NCR,Urban
10701,Batis, City Of San Juan,Metro Manila,NCR,Urban
10406,San Roque, City Of Marikina,Metro Manila,NCR,Urban
10635,Masagana, Quezon City,Metro Manila,NCR,Urban
10624,Kamuning, Quezon City,Metro Manila,NCR,Urban
11604,Barangay 164, Pasay City,Metro Manila,NCR,Urban
10637,Doña Josefa, Quezon City,Metro Manila,NCR,Urban
10209,Barangay 226, Tondo I / Ii,Metro Manila,NCR,Urban
10202,Barangay 41, Tondo I / Ii,Metro Manila,NCR,Urban
11407,Poblacion, City Of Muntinlupa,Metro Manila,NCR,Urban
11101,Hen. T. De Leon, City Of Valenzuela,Metro Manila,NCR,Urban
10612,Pasong Putik Proper (Pasong Putik), Quezon City,Metro Manila,NCR,Urban
11106,Maysan, City Of Valenzuela,Metro Manila,NCR,Urban
10891,Barangay 180, Caloocan City,Metro Manila,NCR,Urban
10810,Barangay 164, Caloocan City,Metro Manila,NCR,Urban
10222,Barangay 741, Malate,Metro Manila,NCR,Urban
10226,Barangay 897, Santa Ana,Metro Manila,NCR,Urban
11602,Barangay 179, Pasay City,Metro Manila,NCR,Urban
10613,Culiat, Quezon City,Metro Manila,NCR,Urban
10407,Tañong, City Of Marikina,Metro Manila,NCR,Urban
11601,Barangay 76, Pasay City,Metro Manila,NCR,Urban
11201,B. F. International Village, City Of Las Piñas,Metro Manila,NCR,Urban
11004,Navotas East, City Of Navotas,Metro Manila,NCR,Urban
10480,Nangka, City Of Marikina,Metro Manila,NCR,Urban
11102,Marulas, City Of Valenzuela,Metro Manila,NCR,Urban
11701,Santo Rosario-Kanluran, Pateros,Metro Manila,NCR,Urban
10636,Quirino 2-B, Quezon City,Metro Manila,NCR,Urban
10603,Batasan Hills, Quezon City,Metro Manila,NCR,Urban
10609,Pasong Tamo, Quezon City,Metro Manila,NCR,Urban
10634,Bagumbayan, Quezon City,Metro Manila,NCR,Urban
10204,Barangay 102, Tondo I / Ii,Metro Manila,NCR,Urban
10813,Barangay 161, Caloocan City,Metro Manila,NCR,Urban
10505,Santa Lucia, City Of Pasig,Metro Manila,NCR,Urban
10625,Doña Imelda, Quezon City,Metro Manila,NCR,Urban
10218,Barangay 571, Sampaloc,Metro Manila,NCR,Urban
11403,Alabang, City Of Muntinlupa,Metro Manila,NCR,Urban
10212,Barangay 322, Santa Cruz,Metro Manila,NCR,Urban
10210,Barangay 387, Quiapo,Metro Manila,NCR,Urban
11392,Cembo, City Of Makati,Metro Manila,NCR,Urban
10604,Holy Spirit, Quezon City,Metro Manila,NCR,Urban
10615,Nagkaisang Nayon, Quezon City,Metro Manila,NCR,Urban
11605,Barangay 98, Pasay City,Metro Manila,NCR,Urban
11406,New Alabang Village, City Of Muntinlupa,Metro Manila,NCR,Urban
10213,Barangay 361, Santa Cruz,Metro Manila,NCR,Urban
11208,Ilaya, City Of Las Piñas,Metro Manila,NCR,Urban
10805,Barangay 12, Caloocan City,Metro Manila,NCR,Urban
10220,Barangay 630, Sampaloc,Metro Manila,NCR,Urban
11405,Bayanan, City Of Muntinlupa,Metro Manila,NCR,Urban
11308,La Paz, City Of Makati,Metro Manila,NCR,Urban
11207,Pamplona Uno, City Of Las Piñas,Metro Manila,NCR,Urban
10902,Longos, City Of Malabon,Metro Manila,NCR,Urban
10904,Tañong (Pob.), City Of Malabon,Metro Manila,NCR,Urban
11304,Pio Del Pilar, City Of Makati,Metro Manila,NCR,Urban
10221,Barangay 670, Ermita,Metro Manila,NCR,Urban
10403,Malanday, City Of Marikina,Metro Manila,NCR,Urban
10601,Commonwealth, Quezon City,Metro Manila,NCR,Urban
11307,San Antonio, City Of Makati,Metro Manila,NCR,Urban
10702,Tibagan, City Of San Juan,Metro Manila,NCR,Urban
10901,Potrero, City Of Malabon,Metro Manila,NCR,Urban
11502,San Isidro, City Of Parañaque,Metro Manila,NCR,Urban
10616,Bagbag, Quezon City,Metro Manila,NCR,Urban
10290,Barangay 17, Tondo I / Ii,Metro Manila,NCR,Urban
10590,Kapitolyo, City Of Pasig,Metro Manila,NCR,Urban
10692,Pasong Tamo, Quezon City,Metro Manila,NCR,Urban
10490,Masagana, Quezon City,Metro Manila,NCR,Urban
10890,Barangay 28, Caloocan City,Metro Manila,NCR,Urban
11090,Tanza, City Of Navotas,Metro Manila,NCR,Urban
11391,Rizal, City Of Makati,Metro Manila,NCR,Urban
11890,Western Bicutan, Taguig City,Metro Manila,NCR,Urban
11892,Tanyag (Bagong Tanyag), Taguig City,Metro Manila,NCR,Urban
10892,Barangay 173, Caloocan City,Metro Manila,NCR,Urban
11390,Pinagsama, Taguig City,Metro Manila,NCR,Urban
10228,Barangay 843, Pandacan,Metro Manila,NCR,Urban
10207,Barangay 180, Tondo I / Ii,Metro Manila,NCR,Urban
11504,San Antonio, City Of Parañaque,Metro Manila,NCR,Urban
10618,Apolonio Samson, Quezon City,Metro Manila,NCR,Urban
10216,Barangay 498, Sampaloc,Metro Manila,NCR,Urban
30104,Gun-ob, Lapu-Lapu City (Opon),Cebu,VIS,Urban
30107,Pardo (Pob.), Cebu City (Capital),Cebu,VIS,Urban
30109,Mactan, Lapu-Lapu City (Opon),Cebu,VIS,Urban
30110,Yati, Liloan,Cebu,VIS,Urban
30114,Tinago, Cebu City (Capital),Cebu,VIS,Urban
30115,Lawaan III, City Of Talisay,Cebu,VIS,Urban
